id,t,size,duration,p_j,g_j,lr_j,p_wap,p_wag,n_j,p_sen,p_fem,lr_ij_sd
cz_se.US,1998,81,5,US,0,7.2,0.5,0,1,0,0,0.5804507532281072
cz_se.US,2002,81,5,US,1,7.2,0.5909090909090909,0.2727272727272727,2,1,0,0.6722681343366237
dk.DFP,2004,179,4,DFP,0,9,0,0,9,1,0.3333333333333333,0
dk.DFP,2005,179,3,DFP,1,9,0.04830917874396135,0.04830917874396135,15,1,0.3333333333333333,1.9031664585845884
dk.DFP,2011,179,5,DFP,0,9,0.09893048128342247,0.012032085561497326,20,1,0.3,1.5132947408716753
dk.DFP,2015,179,1,DFP,0,9,0.05970149253731343,0,5,1,0.4,0.7372611524884796
dk.E,2004,179,4,E,0,0.9,0.2967032967032967,0,6,1,0.16666666666666666,1.8257003637458744
dk.E,2005,179,3,E,0,0.9,0.1680327868852459,0.004098360655737705,5,1,0.2,1.5845848323485527
dk.E,2011,179,5,E,1,0.9,0.023715415019762844,0,14,1,0.35714285714285715,0.32592530954028737
dk.E,2015,179,1,E,0,0.9,0.043859649122807015,0,6,1,0.5,1.031869863787654
dk.KFP,2004,179,4,KFP,1,7.2,1,1,1,1,0,0.531350480693613
dk.KFP,2005,179,3,KFP,1,7.2,0.8333333333333334,0.6666666666666666,2,1,0,1.2139467313958492
dk.KFP,2011,179,5,KFP,0,7.2,0.45161290322580644,0.010752688172043012,7,1,0.42857142857142855,1.285294181141217
dk.LA,2005,179,3,LA,0,6,1,0.03571428571428571,1,1,0,1.7741194999210173
dk.LA,2011,179,5,LA,0,6,0.022058823529411766,0,8,1,0.25,0.5102979917695546
dk.RV,2004,179,4,RV,0,4.9,0.5074626865671642,0.1044776119402985,7,1,0.7142857142857143,1.6911976111283393
dk.RV,2005,179,3,RV,0,4.9,0.34146341463414637,0.03048780487804878,12,1,0.5,1.2964476650613628
dk.SD,2004,179,4,SD,0,3.8,0.20833333333333334,0.01893939393939394,23,1,0.34782608695652173,1.0619952898129958
dk.SD,2005,179,3,SD,0,3.8,0.36363636363636365,0,27,1,0.4074074074074074,1.1106741821532125
dk.SD,2011,179,5,SD,1,3.8,0.9047619047619048,0.47619047619047616,2,1,0,2.8082206005184975
dk.SD,2015,179,1,SD,0,3.8,1,0,1,1,0,2.052640575778754
dk.SF,2011,179,5,SF,0,7.4,1,1,1,1,0,1.1547005383792515
dk.SFP,2004,179,4,SFP,0,2.1,0.40860215053763443,0,9,1,0.3333333333333333,1.1553069040532873
dk.SFP,2005,179,3,SFP,0,2.1,0.6519337016574586,0,12,0.9166666666666666,0.4166666666666667,1.3057960139712597
dk.SFP,2011,179,5,SFP,1,2.1,0.13157894736842105,0.06578947368421052,12,1,0.6666666666666666,1.9307931913412657
dk.SFP,2015,179,1,SFP,0,2.1,0,0,5,1,0.4,0
dk.V,2004,179,4,V,1,7.3,0.9285714285714286,0.6428571428571429,2,1,0.5,1.812426243710041
dk.V,2005,179,3,V,1,7.3,1,0.5,1,1,0,2.3300572239038826
dk.V,2011,179,5,V,0,7.3,0.63003663003663,0.03296703296703297,25,1,0.24,1.0337431361471505
ee.EKRE,2015,101,1,EKRE,0,7.4,0,0,1,0,0,0
